id,title,office,publish,stage
ead0f4d1b402bf0d,最高人民法院关于审理注册商标、企业名称与在先权利冲突的民事纠纷案件若干问题的规定,最高人民法院,2020/12/29,司法解释
1cb6535064a11790,最高人民法院关于审理商标案件有关管辖和法律适用范围问题的解释,最高人民法院,2020/12/29,司法解释
66be5852ce8f7572,最高人民法院关于审理涉及驰名商标保护的民事纠纷案件应用法律若干问题的解释,最高人民法院,2020/12/29,司法解释
b2ed39a9e3d6349c,中华人民共和国专利法,全国人民代表大会常务委员会,2020/10/17,法律
7eda2decf1f67d38,中华人民共和国专利法实施细则,国务院,2023/12/11,行政法规
f415c8b72d4836bb,专利代理条例,国务院,2018/11/6,行政法规
17e7d96289abd6cd,国防专利条例,国务院,2004/9/17,行政法规
51f28950924cf196,最高人民法院关于审理申请注册的药品相关的专利权纠纷民事案件适用法律若干问题的规定,最高人民法院,2021/7/4,司法解释
83e9e32d3292274f,最高人民法院关于审理专利纠纷案件适用法律问题的若干规定,最高人民法院,2020/12/29,司法解释
eb1cf8373181d074,最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释（二）,最高人民法院,2020/12/29,司法解释
4adf0c8cf4761410,最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,最高人民法院,2020/9/10,司法解释
d3c4279191bd8bb5,最高人民法院关于审理侵犯专利权纠纷案件应用法律若干问题的解释,最高人民法院,2009/12/28,司法解释
eaea130ff98f1698,江苏省专利促进条例,江苏省人民代表大会常务委员会,2025/1/14,地方性法规
1e43125a34454a6e,河北省专利条例,河北省人民代表大会常务委员会,2024/11/28,地方性法规
de9a9625c55fac48,河南省专利促进和保护条例,河南省人民代表大会常务委员会,2024/9/29,地方性法规
7f1019b7e75dc807,山西省专利实施和保护条例,山西省人民代表大会常务委员会,2024/9/28,地方性法规
0e3534537342fc82,成都市专利保护和促进条例,成都市人民代表大会常务委员会,2024/8/1,地方性法规
84cfa51e12c6356f,陕西省专利条例,陕西省人民代表大会常务委员会,2023/11/30,地方性法规
9722a0e452008f3f,内蒙古自治区专利促进与保护条例,内蒙古自治区人民代表大会常务委员会,2023/9/27,地方性法规
7075fbbb3e166af6,重庆市专利促进与保护条例,重庆市人民代表大会常务委员会,2023/7/27,地方性法规
2f3a07e8c0fddb49,甘肃省专利条例,甘肃省人民代表大会常务委员会,2022/11/25,地方性法规
60c5154b1b95231c,辽宁省专利条例,辽宁省人民代表大会常务委员会,2022/4/21,地方性法规
929fb36d846388fd,汕头市专利保护和促进条例,汕头市人民代表大会常务委员会,2021/10/9,地方性法规
67ffc9dd7689aca6,武汉市专利管理条例,武汉市人民代表大会常务委员会,2021/2/25,地方性法规
d1a1185078b0b214,江西省专利促进条例,江西省人民代表大会常务委员会,2020/11/25,地方性法规
4e9d827ba540a342,贵州省专利条例,贵州省人民代表大会常务委员会,2020/9/25,地方性法规
499c95be93aefe08,吉林省专利条例,吉林省人民代表大会常务委员会,2017/12/1,地方性法规
db5695a0e6c0cbd3,湖北省专利条例,湖北省人民代表大会常务委员会,2017/5/24,地方性法规
19f99ad5f7dde914,天津市专利促进与保护条例,天津市人民代表大会常务委员会,2016/3/30,地方性法规
88e1eef572e30736,浙江省专利条例,浙江省人民代表大会常务委员会,2015/9/25,地方性法规
302f4584bfea61d6,安徽省专利条例,安徽省人民代表大会常务委员会,2015/9/25,地方性法规
8a42c04b70d88e82,淄博市专利管理若干规定,淄博市人民代表大会常务委员会,2014/12/1,地方性法规
56bbcc6a6b87b796,山东省专利条例,山东省人民代表大会常务委员会,2013/8/1,地方性法规
e1b67a74a0c4c4c2,洛阳市专利促进与保护条例,洛阳市人民代表大会常务委员会,2013/1/15,地方性法规
de752fd86ea34ed8,云南省专利促进与保护条例,云南省人民代表大会常务委员会,2012/11/29,地方性法规
6adce44ab276bb29,广西壮族自治区专利条例,广西壮族自治区人大常务委员会,2012/7/26,地方性法规
bc7f229e3d0b68eb,宁波市专利管理条例,宁波市人民代表大会常务委员会,2012/4/9,地方性法规
69ed5186809f57b1,青岛市专利保护规定,青岛市人民代表大会常务委员会,2011/11/25,地方性法规
678e354faee6c4ca,厦门经济特区专利促进与保护条例,厦门市人民代表大会常务委员会,2011/10/30,地方性法规
6cd3d0c631938f30,广州市专利管理条例,广州市人民代表大会常务委员会,2011/3/15,地方性法规
84bab74eb8cf1da5,广东省专利条例,广东省人民代表大会常务委员会,2010/9/29,地方性法规
49cff252e0501403,沈阳市专利促进条例,沈阳市人民代表大会常务委员会,2010/1/9,地方性法规
cb6748e8a2bba4ae,青海省专利促进与保护条例,青海省人民代表大会常务委员会,2009/11/30,地方性法规
4fb5285a44191778,郑州市专利促进和保护条例,郑州市人民代表大会常务委员会,2009/9/1,地方性法规
